EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
Thunderstorm Wind,C,0,,,22-MAR-55 04:09:00,CST,22-MAR-55 04:09:00,0,0,0,0,0,0,,60,,,,,0,0,,,,,0,,,0,,,39.08,-84.50,,
Thunderstorm Wind,C,57,GREENE,,22-MAR-55 05:30:00,CST,22-MAR-55 05:30:00,0,0,0,0,0,0,,63,,,,,0,0,,,,,0,,,0,,,39.78,-84.08,,
Thunderstorm Wind,C,61,HAMILTON,,22-MAR-55 05:50:00,CST,22-MAR-55 05:50:00,0,0,0,0,0,0,,0,,,,,0,0,,,,,0,,,0,,,39.20,-84.50,,
Thunderstorm Wind,C,119,MUSKINGUM,,22-MAR-55 06:40:00,CST,22-MAR-55 06:40:00,0,0,0,0,0,0,,61,,,,,0,0,,,,,0,,,0,,,40.00,-81.90,,
Thunderstorm Wind,C,151,STARK,,22-MAR-55 07:30:00,CST,22-MAR-55 07:30:00,0,0,0,0,0,0,,64,,,,,0,0,,,,,0,,,0,,,40.88,-81.40,,
Thunderstorm Wind,C,35,CUYAHOGA,,22-MAR-55 07:30:00,CST,22-MAR-55 07:30:00,0,0,0,0,0,0,,74,,,,,0,0,,,,,0,,,0,,,41.38,-81.78,,
Tornado,C,99,MAHONING,,22-MAR-55 08:00:00,CST,22-MAR-55 08:00:00,3,0,0,0,0K,0,,0,,,,F1,5.1,400,,,,,0,,,0,,,40.95,-80.68,41.02,-80.62
Thunderstorm Wind,C,3,ALLEN,,06-JUN-55 14:40:00,CST,06-JUN-55 14:40:00,0,0,0,0,0,0,,74,,,,,0,0,,,,,0,,,0,,,40.70,-84.08,,
Thunderstorm Wind,C,153,SUMMIT,,11-JUN-55 15:06:00,CST,11-JUN-55 15:06:00,0,0,0,0,0,0,,65,,,,,0,0,,,,,0,,,0,,,41.20,-81.58,,
Thunderstorm Wind,C,109,OKLAHOMA,,11-APR-55 23:45:00,CST,11-APR-55 23:45:00,0,0,0,0,0,0,,80,,,,,0,0,,,,,0,,,0,,,35.38,-97.58,,
Tornado,C,117,PAWNEE,,12-APR-55 02:00:00,CST,12-APR-55 02:00:00,0,0,0,0,0K,0,,0,,,,F0,45.6,33,,,,,0,,,0,,,36.35,-96.80,36.82,-96.22
Tornado,C,127,PUSHMATAHA,,12-APR-55 02:30:00,CST,12-APR-55 02:30:00,0,0,0,0,0K,0,,0,,,,F2,6.1,33,,,,,0,,,0,,,34.23,-95.62,34.30,-95.55
Hail,C,123,PONTOTOC,,20-APR-55 19:20:00,CST,20-APR-55 19:20:00,0,0,0,0,0,0,,1.50,,,,,0,0,,,,,0,,,0,,,34.70,-96.78,,
Hail,C,91,MCINTOSH,,20-APR-55 20:00:00,CST,20-APR-55 20:00:00,0,0,0,0,0,0,,1.00,,,,,0,0,,,,,0,,,0,,,35.28,-95.58,,
Hail,C,61,HASKELL,,20-APR-55 20:00:00,CST,20-APR-55 20:00:00,0,0,0,0,0,0,,2.75,,,,,0,0,,,,,0,,,0,,,35.20,-95.40,,
Tornado,C,137,STEPHENS,,22-APR-55 19:00:00,CST,22-APR-55 19:00:00,2,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,34.50,-97.93,,
