EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
Tornado,C,31,DUVAL,,13-DEC-53 17:50:00,CST,13-DEC-53 17:50:00,0,0,0,0,250K,0,,0,,,,F1,2.7,100,,,,,0,,,0,,,30.30,-80.53,30.33,-80.52
Tornado,C,33,SHERIDAN,,29-MAY-53 14:00:00,CST,29-MAY-53 14:00:00,0,0,0,0,0K,0,,0,,,,F1,.2,7,,,,,0,,,0,,,44.75,-106.17,,
Tornado,C,31,COMANCHE,,29-MAR-53 19:25:00,CST,29-MAR-53 19:25:00,0,0,0,0,2.5K,0,,0,,,,F1,1,100,,,,,0,,,0,,,34.58,-98.42,,
Tornado,C,87,MCCLAIN,,02-APR-53 21:58:00,CST,02-APR-53 21:58:00,0,0,0,0,0K,0,,0,,,,F0,0,33,,,,,0,,,0,,,34.92,-97.67,,
Tornado,C,17,CANADIAN,,14-APR-53 18:50:00,CST,14-APR-53 18:50:00,0,0,0,0,250K,0,,0,,,,F2,16.2,440,,,,,0,,,0,,,35.50,-97.83,35.30,-97.68
Tornado,C,5,ATOKA,,14-APR-53 23:00:00,CST,14-APR-53 23:00:00,0,0,0,0,2.5K,0,,0,,,,F2,.3,23,,,,,0,,,0,,,34.37,-96.20,,
Tornado,C,111,OKMULGEE,,23-APR-53 15:31:00,CST,23-APR-53 15:31:00,4,0,1,0,25K,0,,0,,,,F2,1.5,300,,,,,0,,,0,,,35.37,-96.08,,
Tornado,C,89,MCCURTAIN,,23-APR-53 20:00:00,CST,23-APR-53 20:00:00,1,0,0,0,250K,0,,0,,,,F2,1,200,,,,,0,,,0,,,33.90,-94.83,,
Tornado,C,89,MCCURTAIN,,23-APR-53 20:10:00,CST,23-APR-53 20:10:00,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,33.95,-95.08,,
Tornado,C,89,MCCURTAIN,,23-APR-53 20:30:00,CST,23-APR-53 20:30:00,14,0,1,0,.03K,0,,0,,,,F2,.8,17,,,,,0,,,0,,,34.03,-94.57,,
Tornado,C,153,WOODWARD,,28-APR-53 15:00:00,CST,28-APR-53 15:00:00,0,0,0,0,0K,0,,0,,,,F0,.1,27,,,,,0,,,0,,,36.45,-99.38,,
Tornado,C,127,PUSHMATAHA,,28-APR-53 16:15:00,CST,28-APR-53 16:15:00,0,0,0,0,.25K,0,,0,,,,F1,.1,100,,,,,0,,,0,,,34.45,-95.30,,
Tornado,C,57,HARMON,,10-MAY-53 01:00:00,CST,10-MAY-53 01:00:00,0,0,0,0,2.5K,0,,0,,,,F1,3.6,440,,,,,0,,,0,,,34.88,-99.85,34.92,-99.80
Tornado,C,55,GREER,,10-MAY-53 01:15:00,CST,10-MAY-53 01:15:00,0,0,0,0,2.5K,0,,0,,,,F1,0,17,,,,,0,,,0,,,34.75,-99.65,,
Tornado,C,55,GREER,,10-MAY-53 01:15:00,CST,10-MAY-53 01:15:00,0,0,0,0,2.5K,0,,0,,,,F1,0,17,,,,,0,,,0,,,34.85,-99.53,,
Tornado,C,39,CUSTER,,10-MAY-53 01:20:00,CST,10-MAY-53 01:20:00,0,0,0,0,.25K,0,,0,,,,F1,0,33,,,,,0,,,0,,,35.78,-98.75,,
Tornado,C,107,SCHUYLKILL,,23-MAY-53 10:10:00,CST,23-MAY-53 10:10:00,0,0,0,0,2.5K,0,,0,,,,F1,.5,27,,,,,0,,,0,,,40.65,-76.53,,
Tornado,C,63,INDIANA,,30-MAY-53 20:00:00,CST,30-MAY-53 20:00:00,0,0,0,0,25K,0,,0,,,,F2,1.9,33,,,,,0,,,0,,,40.40,-79.20,40.40,-79.13
Tornado,C,29,CHESTER,,22-JUN-53 11:25:00,CST,22-JUN-53 11:25:00,0,0,0,0,2.5K,0,,0,,,,F1,3.6,17,,,,,0,,,0,,,40.12,-75.87,40.15,-75.80
Tornado,C,97,NORTHUMBERLAND,,12-SEP-53 17:45:00,CST,12-SEP-53 17:45:00,0,0,0,0,2.5K,0,,0,,,,F2,4.7,50,,,,,0,,,0,,,40.67,-76.68,40.65,-76.58
Tornado,C,49,ERIE,,22-NOV-53 18:30:00,CST,22-NOV-53 18:30:00,2,0,0,0,25K,0,,0,,,,F2,2,67,,,,,0,,,0,,,41.92,-79.63,,
Tornado,C,71,LANCASTER,,23-NOV-53 01:00:00,CST,23-NOV-53 01:00:00,0,0,0,0,2.5K,0,,0,,,,F2,.1,20,,,,,0,,,0,,,40.10,-76.40,,
Tornado,C,25,CLERMONT,,15-APR-53 17:00:00,CST,15-APR-53 17:00:00,0,0,0,0,25K,0,,0,,,,F1,2,33,,,,,0,,,0,,,39.00,-84.18,,
Tornado,C,147,RICHARDSON,,10-MAY-53 06:00:00,CST,10-MAY-53 06:00:00,0,0,0,0,2.5K,0,,0,,,,F1,9.7,33,,,,,0,,,0,,,40.18,-95.93,40.05,-95.87
Tornado,C,131,OTOE,,10-MAY-53 13:30:00,CST,10-MAY-53 13:30:00,0,0,0,0,2.5K,0,,0,,,,F0,0,33,,,,,0,,,0,,,40.63,-95.87,,
Tornado,C,31,CHERRY,,17-MAY-53 14:35:00,CST,17-MAY-53 14:35:00,0,0,0,0,0K,0,,0,,,,,4.5,33,,,,,0,,,0,,,42.53,-101.97,42.60,-101.92
Tornado,C,19,BUFFALO,,26-MAY-53 23:30:00,CST,26-MAY-53 23:30:00,0,0,0,0,2.5K,0,,0,,,,F1,0,33,,,,,0,,,0,,,40.60,-99.10,,
Tornado,C,49,GARVIN,,19-FEB-53 19:40:00,CST,19-FEB-53 19:40:00,0,0,0,0,2.5K,0,,0,,,,F1,1.3,17,,,,,0,,,0,,,34.72,-97.62,,
Tornado,C,85,LOVE,,19-FEB-53 21:00:00,CST,19-FEB-53 21:00:00,0,0,0,0,2.5K,0,,0,,,,F1,.5,33,,,,,0,,,0,,,33.85,-97.03,,
Tornado,C,17,CHICKASAW,,20-FEB-53 15:00:00,CST,20-FEB-53 15:00:00,0,0,0,0,2.5K,0,,0,,,,F1,21.3,100,,,,,0,,,0,,,34.03,-88.88,34.32,-88.73
Tornado,C,117,PRENTISS,,14-MAR-53 14:30:00,CST,14-MAR-53 14:30:00,0,0,1,0,25K,0,,0,,,,F2,3.3,33,,,,,0,,,0,,,34.67,-88.43,34.70,-88.40
Tornado,C,27,COAHOMA,,21-MAR-53 14:00:00,CST,21-MAR-53 14:00:00,0,0,0,0,25K,0,,0,,,,F1,9,10,,,,,0,,,0,,,34.28,-90.65,34.38,-90.55
Tornado,C,127,SIMPSON,,22-MAR-53 15:00:00,CST,22-MAR-53 15:00:00,1,0,0,0,0K,0,,0,,,,F1,19.6,33,,,,,0,,,0,,,31.88,-89.95,32.03,-89.67
Tornado,C,129,SMITH,,22-MAR-53 15:00:00,CST,22-MAR-53 15:00:00,0,0,0,0,0K,0,,0,,,,F1,81.7,33,,,,,0,,,0,,,32.03,-89.67,32.57,-88.42
Tornado,C,55,ISSAQUENA,,22-MAR-53 16:00:00,CST,22-MAR-53 16:00:00,0,0,0,0,2.5K,0,,0,,,,F2,75.5,200,,,,,0,,,0,,,32.45,-91.15,33.52,-90.87
